DEBUG | [probe] Logging set to DEBUG; file=/Users/hayden/Developer/Currency-Exchange-Problems/logs/debug.log
DEBUG | relax u=1 -> v=4: -5.16931 -> -5.17251 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.659239 -> -0.660239 pred[1]=3
DEBUG | relax u=4 -> v=0: -0.143401 -> -0.210669 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.660239 -> -0.662654 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.563829 -> -0.567343 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.662654 -> -0.729462 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.567343 -> -0.629379 pred[2]=0
DEBUG | relax u=0 -> v=3: -0.0614025 -> -0.129458 pred[3]=0
DEBUG | relax u=0 -> v=4: -5.17251 -> -5.23954 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.210669 -> -0.213624 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.629379 -> -0.634052 pred[2]=1
DEBUG | relax u=1 -> v=3: -0.129458 -> -0.131625 pred[3]=1
DEBUG | relax u=1 -> v=4: -5.23954 -> -5.24274 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.729462 -> -0.730462 pred[1]=3
DEBUG | relax u=4 -> v=0: -0.213624 -> -0.280891 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.730462 -> -0.732876 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.634052 -> -0.637566 pred[2]=4
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> 0.515838 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0.0954102 pred[2]=1
DEBUG | relax u=1 -> v=3: 1e+300 -> 0.597837 pred[3]=1
DEBUG | relax u=1 -> v=4: 1e+300 -> -4.51327 pred[4]=1
DEBUG | relax u=3 -> v=1: 0 -> -0.0009995 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.515838 -> 0.448571 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.0009995 -> -0.00341417 pred[1]=4
DEBUG | relax u=4 -> v=2: 0.0954102 -> 0.091896 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.00341417 -> -0.0702228 pred[1]=0
DEBUG | relax u=0 -> v=2: 0.091896 -> 0.0298606 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.597837 -> 0.529781 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.51327 -> -4.5803 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.448571 -> 0.445615 pred[0]=1
DEBUG | relax u=1 -> v=2: 0.0298606 -> 0.0251874 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.529781 -> 0.527614 pred[3]=1
DEBUG | relax u=1 -> v=4: -4.5803 -> -4.5835 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.0702228 -> -0.0712223 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.445615 -> 0.378348 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.0712223 -> -0.073637 pred[1]=4
DEBUG | relax u=4 -> v=2: 0.0251874 -> 0.0216732 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.073637 -> -0.140446 pred[1]=0
DEBUG | relax u=0 -> v=2: 0.0216732 -> -0.0403622 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.527614 -> 0.459558 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.5835 -> -4.65052 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.378348 -> 0.375392 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.0403622 -> -0.0450355 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.459558 -> 0.457391 pred[3]=1
DEBUG | relax u=1 -> v=4: -4.65052 -> -4.65372 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.140446 -> -0.141445 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.375392 -> 0.308125 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.141445 -> -0.14386 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.0450355 -> -0.0485497 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.14386 -> -0.210669 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.0485497 -> -0.110585 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.457391 -> 0.389335 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.65372 -> -4.72074 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.308125 -> 0.30517 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.110585 -> -0.115258 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.389335 -> 0.387168 pred[3]=1
DEBUG | relax u=1 -> v=4: -4.72074 -> -4.72394 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.210669 -> -0.211668 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.30517 -> 0.237902 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.211668 -> -0.214083 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.115258 -> -0.118772 pred[2]=4
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> 0.421594 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> -0.0953102 pred[1]=2
DEBUG | relax u=2 -> v=3: 1e+300 -> 0.502527 pred[3]=2
DEBUG | relax u=2 -> v=4: 1e+300 -> -4.60856 pred[4]=2
DEBUG | relax u=3 -> v=1: -0.0953102 -> -0.0963097 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.421594 -> 0.353281 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.0963097 -> -0.0987044 pred[1]=4
DEBUG | relax u=4 -> v=2: 0 -> -0.00339423 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.0987044 -> -0.165513 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.00339423 -> -0.0654296 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.502527 -> 0.434491 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.60856 -> -4.67559 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.353281 -> 0.350325 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.0654296 -> -0.0701029 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.434491 -> 0.432324 pred[3]=1
